country,Year,CancerRate,GDPpercap,Population,continent
Afghanistan,2013,0.225177215,1848.700026,34499915,Asia
Albania,2013,0.342674804,10492.80628,3238316,Europe
Algeria,2013,0.17877971,13253.61548,36983924,Africa
Angola,2013,0.236746233,6188.003756,20714494,Africa
Argentina,2013,0.698865422,19482.1903,41473982,Americas
Australia,2013,1.958873442,43118.08613,23213944,Oceania
Austria,2013,1.185647029,44301.10403,8441263,Europe
Bahrain,2013,0.343442572,42680.20134,1377273,Asia
Bangladesh,2013,0.190835004,2835.76662,154393847,Asia
Belgium,2013,1.395163396,40928.13661,10815599,Europe
Benin,2013,0.17726866,1934.649107,9606534,Africa
Bolivia,2013,0.39473404,6090.69557,10409761,Americas
Bosnia and Herzegovina,2013,0.49003795,10284.78455,3735880,Europe
Botswana,2013,0.397630762,15568.27337,2074616,Africa
Brazil,2013,0.502892235,15432.89363,200050487,Americas
Bulgaria,2013,0.821155386,15997.3568,7349462,Europe
Burkina Faso,2013,0.17452927,1562.304708,18011507,Africa
Burundi,2013,0.269679181,790.7145176,8911183,Africa
Cambodia,2013,0.255978039,2964.19717,14656016,Asia
Cameroon,2013,0.214626821,3100.17131,20913595,Africa
Canada,2013,1.298552263,42339.37888,34993747,Americas
Central African Republic,2013,0.275503556,593.0559545,4666833,Africa
Chad,2013,0.174766909,2007.077319,12141876,Africa
Chile,2013,0.600423557,21998.30715,17574464,Americas
China,2013,0.525337399,11951.24796,1359368470,Asia
Colombia,2013,0.462751535,12296.29554,48165221,Americas
Comoros,2013,0.274263819,1437.004907,792913,Africa
Costa Rica,2013,0.516525002,14035.28798,4859957,Americas
Cote d'Ivoire,2013,0.213769622,2879.850217,21057316,Africa
Croatia,2013,1.194468747,20271.28013,4378806,Europe
Czech Republic,2013,1.176531283,28379.74612,10589806,Europe
Denmark,2013,1.463978619,44564.45216,5611187,Europe
Dominican Republic,2013,0.378435291,11907.20486,10308609,Americas
Ecuador,2013,0.361751214,10665.46258,15061398,Americas
Egypt,2013,0.216945376,9814.21213,85378440,Africa
El Salvador,2013,0.329404328,6789.860003,6302723,Americas
Equatorial Guinea,2013,0.327370833,32736.09743,761050,Africa
Ethiopia,2013,0.273280525,1325.755137,88356373,Africa
Finland,2013,1.228553591,39428.31206,5418763,Europe
France,2013,1.193116274,37350.27827,63782963,Europe
Gabon,2013,0.313047093,16503.06836,1594205,Africa
Gambia,2013,0.142419106,1584.753591,1874360,Africa
Germany,2013,1.368107963,42914.47611,81804228,Europe
Ghana,2013,0.187808517,3807.342653,26131336,Africa
Greece,2013,0.928495005,23746.08457,11445691,Europe
Guatemala,2013,0.265885805,7005.026928,15527502,Americas
Guinea,2013,0.206167397,1711.708994,10753680,Africa
Guinea-Bissau,2013,0.217467175,1421.34057,1612913,Africa
Haiti,2013,0.376971923,1629.358918,10388424,Americas
Honduras,2013,0.263667614,4177.580271,8071522,Americas
Hungary,2013,1.031629728,23119.01697,9933795,Europe
Iceland,2013,1.484001173,41259.79596,331996,Europe
India,2013,0.196605325,5073.605489,1275137828,Asia
Indonesia,2013,0.276708217,9643.27483,247188189,Asia
Iran,2013,0.324315007,16383.26035,76407013,Asia
Iraq,2013,0.209507314,15223.58271,34776205,Asia
Ireland,2013,1.300175091,45470.15851,4631391,Europe
Israel,2013,0.736877129,31250.80201,7818860,Asia
Italy,2013,1.415568787,34219.83278,61087395,Europe
Jamaica,2013,0.703230555,8025.471361,2771179,Americas
Japan,2013,1.008701174,37148.60275,126345235,Asia
Jordan,2013,0.340007379,8756.710839,6572903,Asia
Kenya,2013,0.188195599,2683.045833,43923719,Africa
Kuwait,2013,0.410504038,74084.52144,2959015,Asia
Lebanon,2013,0.893675895,14400.6408,4324060,Asia
Lesotho,2013,0.399488236,2631.004823,2240126,Africa
Liberia,2013,0.18601345,818.5893908,4348740,Africa
Libya,2013,0.470578726,21570.27049,6506095,Africa
Madagascar,2013,0.273623945,1364.345909,22555046,Africa
Malawi,2013,0.392839332,1062.164941,16406945,Africa
Malaysia,2013,0.434934654,23224.18844,29787203,Asia
Mali,2013,0.184981069,1793.723666,16808242,Africa
Mauritania,2013,0.189537092,3565.521999,3704414,Africa
Mauritius,2013,0.427242265,17628.82937,1320785,Africa
Mexico,2013,0.559634596,16385.05961,117478371,Americas
Mongolia,2013,0.419864598,10720.06215,2887863,Asia
Montenegro,2013,0.631007405,14551.44671,633167,Europe
Morocco,2013,0.269884677,6995.938186,32925553,Africa
Mozambique,2013,0.185327383,1034.589423,25028313,Africa
Myanmar,2013,0.255837372,4457.901329,49119646,Asia
Namibia,2013,0.230277046,9255.656532,2404477,Africa
Nepal,2013,0.149348342,2163.950489,31535507,Asia
Netherlands,2013,1.704385889,45191.48625,16761552,Europe
New Zealand,2013,1.707656306,33782.10082,4508166,Oceania
Nicaragua,2013,0.231461716,4618.727191,6041763,Americas
Niger,2013,0.147920461,874.0787559,17239826,Africa
Nigeria,2013,0.268057426,5479.058339,170901148,Africa
Norway,2013,1.550930966,62896.29006,4991997,Europe
Oman,2013,0.172963425,41924.8081,2957333,Asia
Pakistan,2013,0.353648265,4464.090289,183188847,Asia
Panama,2013,0.63929179,19377.90562,3678264,Americas
Paraguay,2013,0.465099622,8227.214713,6798236,Americas
Peru,2013,0.36964668,11430.25578,30075185,Americas
Philippines,2013,0.360002963,6306.746066,98112780,Asia
Poland,2013,0.80665035,23555.49621,38331803,Europe
Portugal,2013,0.86847633,25654.6143,10704534,Europe
Puerto Rico,2013,1.06448481,34913.62274,3742334,Americas
Romania,2013,0.795947456,19018.87078,21338815,Europe
Rwanda,2013,0.255467381,1552.751769,11608439,Africa
Sao Tome and Principe,2013,0.249709579,2785.734046,175383,Africa
Saudi Arabia,2013,0.273074751,49537.58573,29319402,Asia
Senegal,2013,0.186905216,2195.963854,13454191,Africa
Serbia,2013,0.819633788,13294.9603,9835010,Europe
Sierra Leone,2013,0.20985861,1655.121779,6255163,Africa
Singapore,2013,0.889788348,78896.6127,5300914,Asia
