province,year_2010,year_2012,year_2014,year_2016
Ha Noi,2013,2945,4113,4875
Vinh Phuc,1232,1867,2378,2860
Bac Ninh,1646,2502,3512,4308
Quang Ninh,1787,2557,3053,3747
Hai Duong,1306,2047,2755,3169
Hai Phong,1694,2526,3923,4375
Hung Yen,1199,1803,2192,2895
Thai Binh,1129,1729,2469,2812
Ha Nam,1150,1754,2198,2826
Nam Dinh,1237,1791,2816,3014
Ninh Binh,1202,1696,2215,2914
Ha Giang,610,850,1121,1324
Cao Bang,749,1054,1252,1643
Bac Kan,776,1142,1216,1401
Tuyen Quang,887,1162,1571,1759
Lao Cai,819,1085,1468,1856
Yen Bai,844,1114,1386,1805
Thai Nguyen,1149,1747,2238,3005
Lang Son,929,1212,1437,1684
Bac Giang,1103,1568,2174,2778
Phu Tho,1126,1579,1954,2375
Dien Bien,611,819,1200,1221
Lai Chau,567,758,987,1312
Son La,802,1020,1178,1288
Hoa Binh,829,1219,1598,1925
Thanh Hoa,840,1207,1635,2212
Nghe An,920,1367,1583,1820
Ha Tinh,840,1299,1810,2078
Quang Binh,950,1410,1837,2256
Quang Tri,951,1300,1673,2044
Thua Thien-Hue,1058,1747,2175,2604
Da Nang,1897,2865,3612,4441
Quang Nam,935,1376,1784,2187
Quang Ngai,909,1300,1619,2153
Binh Dinh,1150,1719,2346,2605
Phu Yen,1013,1440,1979,2358
Khanh Hoa,1258,1896,2670,2891
Ninh Thuan,947,1637,2331,2340
Binh Thuan,1160,1747,2395,2714
Kon Tum,947,1294,1587,1951
Gia Lai,1027,1563,1760,1950
Dak Lak,1068,1639,1988,2329
Dak Nong,1039,1611,1824,2335
Lam Dong,1257,1848,2499,2979
Binh Phuoc,1526,2218,2693,3148
Tay Ninh,1435,2100,2796,3391
Binh Duong,2698,3568,3769,5005
Dong Nai,1763,2577,3504,4328
Ba Ria - Vung Tau,1695,2904,3752,4413
Ho Chi Minh city,2737,3653,4840,5109
Long An,1289,1956,2430,3242
Tien Giang,1313,1941,2596,3139
Ben Tre,1200,1580,2162,2450
Tra Vinh,1089,1398,2098,2220
Vinh Long,1239,1744,2205,2378
Dong Thap,1138,1666,2134,2691
An Giang,1319,1871,2472,2892
Kien Giang,1316,1963,2642,3016
Can Tho,1540,2325,2673,3365
Hau Giang,1098,1527,2088,2611
Soc Trang,1029,1324,1913,2548
Bac Lieu,1273,2035,2214,2319
Ca Mau,1250,1779,2154,2372
