Metro,Class,Year,Income
"Akron, OH",Lower,1999,27587.96776
"Albany-Schenectady-Troy, NY",Lower,1999,27322.45512
"Albuquerque, NM",Lower,1999,26426.8719
"Allentown-Bethlehem-Easton, PA-NJ",Lower,1999,29007.44579
"Amarillo, TX",Lower,1999,27014.1596
"Anchorage, AK",Lower,1999,27813.286
"Ann Arbor, MI",Lower,1999,25528.92
"Anniston-Oxford-Jacksonville, AL",Lower,1999,26245.19122
"Atlanta-Sandy Springs-Roswell, GA",Lower,1999,26982.14571
"Atlantic City-Hammonton, NJ",Lower,1999,27380.06059
"Auburn-Opelika, AL",Lower,1999,21209.38847
"Augusta-Richmond County, GA-SC",Lower,1999,25710.18556
"Austin-Round Rock, TX",Lower,1999,26367.89894
"Bakersfield, CA",Lower,1999,24879.82669
"Baltimore-Columbia-Towson, MD",Lower,1999,26206.21778
"Bangor, ME",Lower,1999,26146.58549
"Barnstable Town, MA",Lower,1999,28838.1946
"Baton Rouge, LA",Lower,1999,23810.93866
"Beaumont-Port Arthur, TX",Lower,1999,24539.63937
"Bellingham, WA",Lower,1999,27562.30292
"Bend-Redmond, OR",Lower,1999,28953.01484
"Binghamton, NY",Lower,1999,27816.48495
"Birmingham-Hoover, AL",Lower,1999,25538.61452
"Blacksburg-Christiansburg-Radford, VA",Lower,1999,25989.32426
"Bloomington, IL",Lower,1999,28285.60694
"Boise City, ID",Lower,1999,28917.50897
"Boston-Cambridge-Newton, MA-NH",Lower,1999,25268.99941
"Bremerton-Silverdale, WA",Lower,1999,28668.11316
"Bridgeport-Stamford-Norwalk, CT",Lower,1999,25963.75709
"Brownsville-Harlingen, TX",Lower,1999,23228.9744
"Buffalo-Cheektowaga-Niagara Falls, NY",Lower,1999,26902.7825
"Burlington, NC",Lower,1999,27844.22544
"Burlington-South Burlington, VT",Lower,1999,27674.31493
"Canton-Massillon, OH",Lower,1999,29270.80952
"Cape Coral-Fort Myers, FL",Lower,1999,28835.8015
"Champaign-Urbana, IL",Lower,1999,23849.13067
"Charleston-North Charleston, SC",Lower,1999,25155.05827
