Year,Accept_Rate,Uni_Name
2022,7.2,Brown University
2021,8.3,Brown University
2020,9,Brown University
2019,8.5,Brown University
2018,8.6,Brown University
2017,9.2,Brown University
2016,9.6,Brown University
2015,8.7,Brown University
2014,9.3,Brown University
2013,10.8,Brown University
2012,13.3,Brown University
2011,13.5,Brown University
2010,13.8,Brown University
2009,14.6,Brown University
2008,15.8,Brown University
2007,14.9,Brown University
2022,5.5,Columbia University
2021,5.8,Columbia University
2020,6,Columbia University
2019,6.1,Columbia University
2018,7,Columbia University
2017,6.9,Columbia University
2016,7.4,Columbia University
2015,6.9,Columbia University
2014,9.2,Columbia University
2013,9.8,Columbia University
2012,10,Columbia University
2011,10.4,Columbia University
2010,11.4,Columbia University
2009,12.4,Columbia University
2008,12.8,Columbia University
2007,12,Columbia University
2022,10.3,Cornell University
2021,12.9,Cornell University
2020,14.1,Cornell University
2019,15.1,Cornell University
2018,14,Cornell University
2017,15.2,Cornell University
2016,16.2,Cornell University
2015,18,Cornell University
2014,18.4,Cornell University
2013,17.4,Cornell University
2012,20.4,Cornell University
2011,20.5,Cornell University
2010,24.7,Cornell University
2009,26.1,Cornell University
2008,28.7,Cornell University
2007,30.9,Cornell University
2022,8.7,Dartmouth College
2021,10.4,Dartmouth College
2020,10.5,Dartmouth College
2019,10.3,Dartmouth College
2018,11.5,Dartmouth College
2017,10,Dartmouth College
2016,9.4,Dartmouth College
2015,9.7,Dartmouth College
2014,11.5,Dartmouth College
2013,12,Dartmouth College
2012,13.2,Dartmouth College
2011,15.3,Dartmouth College
2010,15.4,Dartmouth College
2009,16.9,Dartmouth College
2008,18.3,Dartmouth College
2007,17.7,Dartmouth College
2022,4.6,Harvard University
2021,5.2,Harvard University
2020,5.2,Harvard University
2019,5.3,Harvard University
2018,5.9,Harvard University
2017,5.8,Harvard University
2016,5.9,Harvard University
2015,6.2,Harvard University
2014,6.9,Harvard University
2013,7,Harvard University
2012,7.1,Harvard University
2011,9,Harvard University
2010,9.3,Harvard University
2009,9.1,Harvard University
2008,10.3,Harvard University
2007,9.8,Harvard University
2022,5.5,Princeton University
2021,6.1,Princeton University
2020,6.5,Princeton University
2019,7,Princeton University
2018,7.3,Princeton University
2017,7.3,Princeton University
2016,7.9,Princeton University
2015,8.4,Princeton University
2014,8.2,Princeton University
2013,9.8,Princeton University
2012,9.3,Princeton University
2011,9.5,Princeton University
2010,10.2,Princeton University
2009,10.9,Princeton University
2008,11.9,Princeton University
2007,10,Princeton University
2022,8.4,University of Pennsylvania
2021,9.2,University of Pennsylvania
2020,9.4,University of Pennsylvania
2019,9.9,University of Pennsylvania
2018,9.9,University of Pennsylvania
2017,12.1,University of Pennsylvania
2016,12.3,University of Pennsylvania
2015,12.3,University of Pennsylvania
2014,14.2,University of Pennsylvania
2013,17.1,University of Pennsylvania
2012,16.4,University of Pennsylvania
2011,15.9,University of Pennsylvania
2010,17.7,University of Pennsylvania
2009,20.9,University of Pennsylvania
2008,21,University of Pennsylvania
2007,20.5,University of Pennsylvania
2022,6.3,Yale University
2021,6.9,Yale University
2020,6.3,Yale University
2019,6.5,Yale University
2018,6.3,Yale University
2017,6.7,Yale University
2016,6.8,Yale University
2015,7.4,Yale University
2014,7.5,Yale University
2013,7.5,Yale University
2012,8.3,Yale University
2011,9.6,Yale University
2010,8.6,Yale University
2009,9.7,Yale University
2008,9.9,Yale University
2007,11.4,Yale University
